Sport,Level,League,Date,Day,Time,Home Team,Road Team,City,State
basketball,college,ncaab,2024-01-07,Sunday,14:00:00,Saint Peter's University,Mount St. Mary's (Md.),,
basketball,college,ncaab,2024-01-14,Sunday,14:00:00,Saint Peter's University,Manhattan College,,
basketball,college,ncaab,2024-01-19,Friday,19:00:00,Saint Peter's University,Fairfield University,,
basketball,college,ncaab,2024-01-21,Sunday,14:00:00,Saint Peter's University,Canisius University,,
basketball,college,ncaab,2024-01-25,Thursday,19:00:00,Saint Peter's University,Rider University,,
basketball,college,ncaab,2024-01-28,Sunday,14:00:00,Saint Peter's University,Siena College,,
basketball,college,ncaab,2024-02-02,Friday,19:00:00,Saint Peter's University,Niagara University,,
basketball,college,ncaab,2024-02-04,Sunday,14:00:00,Saint Peter's University,Marist College,,
basketball,college,ncaab,2024-02-08,Thursday,19:00:00,Saint Peter's University,Quinnipiac University,,
basketball,college,ncaab,2024-02-10,Saturday,14:00:00,Saint Peter's University,Fairfield University,,
basketball,college,ncaab,2024-02-16,Friday,19:00:00,Saint Peter's University,Siena College,,
basketball,college,ncaab,2024-02-18,Sunday,13:00:00,Saint Peter's University,Iona University,,
basketball,college,ncaab,2024-02-23,Friday,19:00:00,Saint Peter's University,Mount St. Mary's (Md.),,
basketball,college,ncaab,2024-02-25,Sunday,15:00:00,Saint Peter's University,Marist College,,
basketball,college,ncaab,2024-03-03,Sunday,14:00:00,Saint Peter's University,Manhattan College,,
basketball,college,ncaab,2024-03-07,Thursday,20:00:00,Saint Peter's University,Rider University,,
basketball,college,ncaab,2024-03-09,Saturday,14:00:00,Saint Peter's University,Quinnipiac University,,
basketball,college,ncaab,2024-03-12,Tuesday,00:00:00,Saint Peter's University,Metro Atlantic Athletic Conference,,
basketball,college,ncaab,2023-11-06,Monday,19:30:00,Saint Peter's University,Seton Hall University,,
basketball,college,ncaab,2023-11-11,Saturday,16:00:00,Saint Peter's University,New Jersey Institute of Technology,,
basketball,college,ncaab,2023-11-15,Wednesday,19:00:00,Saint Peter's University,FDU,,
basketball,college,ncaab,2023-11-20,Monday,19:00:00,Saint Peter's University,University of Massachusetts Lowell,,
basketball,college,ncaab,2023-11-27,Monday,19:00:00,Saint Peter's University,Rutgers University,,
basketball,college,ncaab,2023-12-12,Tuesday,19:00:00,Saint Peter's University,UMBC,,
basketball,college,ncaab,2023-12-30,Saturday,14:00:00,Saint Peter's University,Bucknell University,,
basketball,college,ncaab,2023-12-22,Friday,13:00:00,Saint Peter's University,Kean University,,
basketball,college,ncaab,2023-12-08,Friday,19:00:00,Saint Peter's University,Duquesne University,,
basketball,college,ncaab,2023-11-06,Monday,19:00:00,Harvard University,UMass Boston,,
basketball,college,ncaab,2023-11-10,Friday,20:00:00,Harvard University,Rice University,,
basketball,college,ncaab,2023-11-14,Tuesday,19:00:00,Harvard University,Northeastern University,,
basketball,college,ncaab,2023-11-17,Friday,19:00:00,Harvard University,University of Massachusetts,,
basketball,college,ncaab,2023-11-18,Saturday,17:00:00,Harvard University,Boston College,,
basketball,college,ncaab,2023-11-22,Wednesday,14:00:00,Harvard University,Colgate University,,
basketball,college,ncaab,2023-11-26,Sunday,16:30:00,Harvard University,Indiana University,,
basketball,college,ncaab,2023-11-29,Wednesday,19:00:00,Harvard University,American University,,
basketball,college,ncaab,2023-12-02,Saturday,16:00:00,Harvard University,Loyola University Chicago,,
basketball,college,ncaab,2023-12-08,Friday,19:00:00,Harvard University,Army West Point,,
basketball,college,ncaab,2023-12-21,Thursday,14:00:00,Harvard University,Holy Cross,,
basketball,college,ncaab,2023-12-30,Saturday,14:00:00,Harvard University,Iona University,,
basketball,college,ncaab,2024-01-02,Tuesday,19:00:00,Harvard University,University at Albany,,
basketball,college,ncaab,2024-01-06,Saturday,14:00:00,Harvard University,Princeton University,,
basketball,college,ncaab,2024-01-15,Monday,14:00:00,Harvard University,Brown University,,
basketball,college,ncaab,2024-01-20,Saturday,18:00:00,Harvard University,University of Pennsylvania,,
basketball,college,ncaab,2024-01-27,Saturday,14:00:00,Harvard University,Yale University,,
basketball,college,ncaab,2024-02-02,Friday,19:00:00,Harvard University,Columbia University,,
basketball,college,ncaab,2024-02-03,Saturday,19:00:00,Harvard University,Cornell University,,
basketball,college,ncaab,2024-02-10,Saturday,14:00:00,Harvard University,Dartmouth College,,
basketball,college,ncaab,2024-02-16,Friday,19:00:00,Harvard University,Cornell University,,
basketball,college,ncaab,2024-02-17,Saturday,18:00:00,Harvard University,Columbia University,,
basketball,college,ncaab,2024-02-23,Friday,19:00:00,Harvard University,Princeton University,,
basketball,college,ncaab,2024-02-24,Saturday,19:00:00,Harvard University,University of Pennsylvania,,
basketball,college,ncaab,2024-03-01,Friday,19:00:00,Harvard University,Brown University,,
basketball,college,ncaab,2024-03-02,Saturday,19:00:00,Harvard University,Yale University,,
basketball,college,ncaab,2024-03-09,Saturday,14:00:00,Harvard University,Dartmouth College,,
basketball,college,ncaab,2023-10-13,Friday,18:30:00,Harvard University,Crimson Madness,,
basketball,college,ncaab,2024-03-16,Saturday,00:00:00,Harvard University,Ivy League Tournament,,
basketball,college,ncaab,2024-03-17,Sunday,00:00:00,Harvard University,Ivy League Tournament,,
