Sport,Level,League,Date,Day,Time,Home Team,Road Team,City,State
basketball,pro,NBA,2023-11-17,Friday,",",Los Angeles Clippers,Houston Rockets,Los Angeles,CA
basketball,pro,NBA,2023-11-18,Saturday,",",Charlotte Hornets,New York Knicks,Charlotte,NC
basketball,pro,NBA,2023-11-18,Saturday,",",New Orleans Pelicans,Minnesota Timberwolves,New Orleans,LA
basketball,pro,NBA,2023-11-18,Saturday,",",Chicago Bulls,Miami Heat,Chicago,IL
basketball,pro,NBA,2023-11-18,Saturday,",",Milwaukee Bucks,Dallas Mavericks,Milwaukee,WI
basketball,pro,NBA,2023-11-18,Saturday,",",San Antonio Spurs,Memphis Grizzlies,San Antonio,TX
basketball,pro,NBA,2023-11-18,Saturday,",",Golden State Warriors,Oklahoma City Thunder,San Francisco,CA
basketball,pro,NBA,2023-11-19,Sunday,",",Brooklyn Nets,Philadelphia 76ers,Brooklyn,NY
basketball,pro,NBA,2023-11-19,Sunday,",",Toronto Raptors,Detroit Pistons,Toronto,ON
basketball,pro,NBA,2023-11-19,Sunday,",",Indiana Pacers,Orlando Magic,Indianapolis,IN
basketball,pro,NBA,2023-11-19,Sunday,",",Cleveland Cavaliers,Denver Nuggets,Cleveland,OH
basketball,pro,NBA,2023-11-19,Sunday,",",Dallas Mavericks,Sacramento Kings,Dallas,TX
basketball,pro,NBA,2023-11-19,Sunday,",",Memphis Grizzlies,Boston Celtics,Memphis,TN
basketball,pro,NBA,2023-11-19,Sunday,",",Utah Jazz,Phoenix Suns,Salt Lake City,UT
basketball,pro,NBA,2023-11-19,Sunday,",",Portland Trail Blazers,Oklahoma City Thunder,Portland,OR
basketball,pro,NBA,2023-11-19,Sunday,",",Los Angeles Lakers,Houston Rockets,Los Angeles,CA
basketball,pro,NBA,2023-11-20,Monday,",",Charlotte Hornets,Boston Celtics,Charlotte,NC
basketball,pro,NBA,2023-11-20,Monday,",",Detroit Pistons,Denver Nuggets,Detroit,MI
basketball,pro,NBA,2023-11-20,Monday,",",Washington Wizards,Milwaukee Bucks,Washington,DC
basketball,pro,NBA,2023-11-20,Monday,",",Chicago Bulls,Miami Heat,Chicago,IL
basketball,pro,NBA,2023-11-20,Monday,",",Minnesota Timberwolves,New York Knicks,Minneapolis,MN
basketball,pro,NBA,2023-11-20,Monday,",",New Orleans Pelicans,Sacramento Kings,New Orleans,LA
basketball,pro,NBA,2023-11-20,Monday,",",San Antonio Spurs,Los Angeles Clippers,San Antonio,TX
basketball,pro,NBA,2023-11-20,Monday,",",Golden State Warriors,Houston Rockets,San Francisco,CA
basketball,pro,NBA,2023-11-21,Tuesday,",",Orlando Magic,Toronto Raptors,Orlando,FL
basketball,pro,NBA,2023-11-21,Tuesday,",",Atlanta Hawks,Indiana Pacers,Atlanta,GA
basketball,pro,NBA,2023-11-21,Tuesday,",",Philadelphia 76ers,Cleveland Cavaliers,Philadelphia,PA
basketball,pro,NBA,2023-11-21,Tuesday,",",Phoenix Suns,Portland Trail Blazers,Phoenix,AZ
basketball,pro,NBA,2023-11-21,Tuesday,",",Los Angeles Lakers,Utah Jazz,Los Angeles,CA
basketball,pro,NBA,2023-11-22,Wednesday,",",Charlotte Hornets,Washington Wizards,Charlotte,NC
basketball,pro,NBA,2023-11-22,Wednesday,",",Orlando Magic,Denver Nuggets,Orlando,FL
basketball,pro,NBA,2023-11-22,Wednesday,",",Atlanta Hawks,Brooklyn Nets,Atlanta,GA
basketball,pro,NBA,2023-11-22,Wednesday,",",Boston Celtics,Milwaukee Bucks,Boston,MA
basketball,pro,NBA,2023-11-22,Wednesday,",",Cleveland Cavaliers,Miami Heat,Cleveland,OH
basketball,pro,NBA,2023-11-22,Wednesday,",",Indiana Pacers,Toronto Raptors,Indianapolis,IN
