Sport,Level,League,Date,Day,Time,Home Team,Road Team,Location,Home City,Home State
basketball,pro,NBA,2023-11-15,Wednesday,,Chicago Bulls,Orlando Magic,United Center,Chicago,IL
basketball,pro,NBA,2023-11-15,Wednesday,,Phoenix Suns,Minnesota Timberwolves,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-11-15,Wednesday,,Los Angeles Lakers,Sacramento Kings,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-15,Wednesday,,Portland Trail Blazers,Cleveland Cavaliers,Moda Center,Portland,OR
basketball,pro,NBA,2023-11-16,Thursday,,Miami Heat,Brooklyn Nets,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-11-16,Thursday,,Golden State Warriors,Oklahoma City Thunder,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-11-17,Friday,,Charlotte Hornets,Milwaukee Bucks,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-11-17,Friday,,Washington Wizards,New York Knicks,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-11-17,Friday,,Atlanta Hawks,Philadelphia 76ers,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-11-17,Friday,,Cleveland Cavaliers,Detroit Pistons,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-17,Friday,,San Antonio Spurs,Sacramento Kings,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-17,Friday,,Toronto Raptors,Boston Celtics,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-11-17,Friday,,Chicago Bulls,Orlando Magic,United Center,Chicago,IL
basketball,pro,NBA,2023-11-17,Friday,,New Orleans Pelicans,Denver Nuggets,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-17,Friday,,Portland Trail Blazers,Los Angeles Lakers,Moda Center,Portland,OR
basketball,pro,NBA,2023-11-17,Friday,,Utah Jazz,Phoenix Suns,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-11-17,Friday,,Los Angeles Clippers,Houston Rockets,Crypto.com Arena,Los Angeles,CA
