primary_key,sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
NBA_2023-10-30_NA_New Orleans Pelicans_Golden State Warriors,basketball,pro,NBA,2023-10-30,Monday,,New Orleans Pelicans,Golden State Warriors,Smoothie King Center,New Orleans,LA
NBA_2023-10-30_NA_Oklahoma City Thunder_Detroit Pistons,basketball,pro,NBA,2023-10-30,Monday,,Oklahoma City Thunder,Detroit Pistons,Paycom Center,Oklahoma City,OK
NBA_2023-10-30_NA_Denver Nuggets_Utah Jazz,basketball,pro,NBA,2023-10-30,Monday,,Denver Nuggets,Utah Jazz,Ball Arena,Denver,CO
NBA_2023-10-30_NA_Los Angeles Lakers_Orlando Magic,basketball,pro,NBA,2023-10-30,Monday,,Los Angeles Lakers,Orlando Magic,Crypto.com Arena,Los Angeles,CA
NBA_2023-10-31_NA_Cleveland Cavaliers_New York Knicks,basketball,pro,NBA,2023-10-31,Tuesday,,Cleveland Cavaliers,New York Knicks,Rocket Mortgage Fieldhouse,Cleveland,OH
NBA_2023-10-31_NA_Phoenix Suns_San Antonio Spurs,basketball,pro,NBA,2023-10-31,Tuesday,,Phoenix Suns,San Antonio Spurs,Footprint Center,Phoenix,AZ
NBA_2023-10-31_NA_Los Angeles Clippers_Orlando Magic,basketball,pro,NBA,2023-10-31,Tuesday,,Los Angeles Clippers,Orlando Magic,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-01_NA_Detroit Pistons_Portland Trail Blazers,basketball,pro,NBA,2023-11-01,Wednesday,,Detroit Pistons,Portland Trail Blazers,Little Caesars Arena,Detroit,MI
NBA_2023-11-01_NA_Toronto Raptors_Milwaukee Bucks,basketball,pro,NBA,2023-11-01,Wednesday,,Toronto Raptors,Milwaukee Bucks,Scotiabank Arena,Toronto,ON
NBA_2023-11-01_NA_Atlanta Hawks_Washington Wizards,basketball,pro,NBA,2023-11-01,Wednesday,,Atlanta Hawks,Washington Wizards,State Farm Arena,Atlanta,GA
NBA_2023-11-01_NA_Boston Celtics_Indiana Pacers,basketball,pro,NBA,2023-11-01,Wednesday,,Boston Celtics,Indiana Pacers,TD Garden,Boston,MA
NBA_2023-11-01_NA_Miami Heat_Brooklyn Nets,basketball,pro,NBA,2023-11-01,Wednesday,,Miami Heat,Brooklyn Nets,Kaseya Center,Miami,FL
